trip_id,pickup_ts,dropoff_ts,vendor_id,passenger_count,trip_distance,fare_amount,tip_amount,total_amount,pickup_borough,dropoff_borough,payment_type,load_ts
T00000001,2024-04-26 09:41:00,2024-04-26 09:59:00,V001,1,2.01,13.51,0.08,14.75,Manhattan,Manhattan,Cash,2024-04-29 07:18:00
T00000002,2024-04-19 14:15:00,2024-04-19 14:22:00,V002,2,6.29,18.30,4.96,25.35,Manhattan,Brooklyn,Card,2024-04-21 04:38:00
T00000003,2024-01-29 07:18:00,2024-01-29 07:49:00,V004,1,1.15,16.38,4.22,22.61,Brooklyn,Staten Island,Card,2024-01-31 11:49:00
T00000004,2024-01-15 08:16:00,2024-01-15 09:30:00,V001,2,1.82,30.99,2.14,35.48,Bronx,Brooklyn,Cash,2024-01-17 23:44:00
T00000005,2024-04-25 17:20:00,2024-04-25 18:10:00,V001,1,5.82,31.77,6.98,40.22,Manhattan,Brooklyn,Card,2024-04-27 07:21:00
T00000006,2024-06-17 11:05:00,2024-06-17 12:20:00,V001,1,9.07,45.75,12.85,60.16,Queens,Manhattan,Card,2024-06-20 08:49:00
T00000007,2024-03-13 00:32:00,2024-03-13 01:34:00,V001,1,7.08,38.45,8.01,47.46,Staten Island,Manhattan,Card,2024-03-15 21:16:00
T00000008,2024-01-17 13:11:00,2024-01-17 13:21:00,V004,1,1.61,9.87,2.08,13.24,Manhattan,Brooklyn,Card,2024-01-17 15:15:00
T00000009,2024-05-03 20:12:00,2024-05-03 20:30:00,V003,2,2.29,12.40,2.23,17.25,Bronx,Manhattan,Card,2024-05-06 17:10:00
T00000010,2024-05-18 17:03:00,2024-05-18 17:29:00,V002,1,5.23,22.33,3.62,26.39,Staten Island,Bronx,Card,2024-05-18 17:53:00
T00000011,2024-04-19 00:49:00,2024-04-19 01:34:00,V002,1,2.92,24.45,3.25,29.26,Manhattan,Queens,Card,2024-04-19 11:20:00
T00000012,2024-06-27 00:52:00,2024-06-27 02:04:00,V003,1,3.75,33.21,0.98,34.77,Brooklyn,Queens,Cash,2024-06-28 05:51:00
T00000013,2024-05-09 18:55:00,2024-05-09 19:38:00,V002,2,2.99,22.89,2.15,25.10,Brooklyn,Brooklyn,Card,2024-05-09 20:56:00
T00000014,2024-01-13 22:10:00,2024-01-13 22:21:00,V001,4,2.11,10.09,2.88,14.54,Brooklyn,Queens,Card,2024-01-16 06:15:00
T00000015,2024-02-04 15:54:00,2024-02-04 16:10:00,V001,1,3.35,15.84,4.70,20.81,Brooklyn,Brooklyn,Card,2024-02-05 07:25:00
T00000016,2024-02-15 06:23:00,2024-02-15 06:51:00,V001,1,3.34,18.22,0.57,21.16,Brooklyn,Manhattan,Cash,2024-02-15 09:11:00
T00000017,2024-06-25 09:36:00,2024-06-25 09:51:00,V004,3,1.65,10.41,0.97,12.42,Staten Island,Manhattan,Card,2024-06-28 00:18:00
T00000018,2024-02-21 22:16:00,2024-02-21 23:14:00,V003,2,7.95,38.22,4.89,43.27,Queens,Manhattan,Card,2024-02-23 18:23:00
T00000019,2024-01-11 09:45:00,2024-01-11 09:55:00,V002,2,1.78,10.46,1.11,14.02,Manhattan,Queens,Card,2024-01-11 21:26:00
T00000020,2024-03-17 07:37:00,2024-03-17 08:47:00,V001,1,5.81,36.90,8.19,46.35,Bronx,Bronx,Card,2024-03-17 10:23:00
T00000021,2024-03-24 10:16:00,2024-03-24 10:32:00,V001,1,2.28,14.05,0.36,14.84,Bronx,Queens,Cash,2024-03-24 11:56:00
T00000022,2024-05-01 13:56:00,2024-05-01 15:10:00,V001,2,1.31,29.59,6.30,37.86,Manhattan,Queens,Card,2024-05-03 03:32:00
T00000023,2024-04-02 00:09:00,2024-04-02 01:15:00,V001,4,0.81,26.81,4.11,31.28,Staten Island,Manhattan,Card,2024-04-04 13:54:00
T00000024,2024-04-10 10:19:00,2024-04-10 11:17:00,V002,1,2.96,27.57,4.42,34.56,Staten Island,Manhattan,Card,2024-04-12 12:28:00
T00000025,2024-02-08 05:50:00,2024-02-08 06:25:00,V003,1,4.51,25.09,1.63,27.37,Manhattan,Queens,Cash,2024-02-09 06:55:00
T00000026,2024-06-09 10:57:00,2024-06-09 11:53:00,V001,2,2.71,27.52,1.56,29.81,Queens,Manhattan,Cash,2024-06-09 17:30:00
T00000027,2024-06-05 07:15:00,2024-06-05 08:19:00,V001,3,3.63,31.99,2.73,35.25,Manhattan,Bronx,Card,2024-06-06 22:45:00
T00000028,2024-03-04 22:10:00,2024-03-04 23:19:00,V002,6,4.28,32.91,0.71,36.27,Manhattan,Manhattan,Other,2024-03-07 10:58:00
T00000029,2024-03-03 22:19:00,2024-03-03 23:03:00,V002,6,1.31,18.90,3.33,23.66,Queens,Queens,Card,2024-03-05 02:17:00
T00000030,2024-03-07 07:18:00,2024-03-07 08:17:00,V001,2,2.70,28.59,4.18,33.62,Brooklyn,Brooklyn,Card,2024-03-09 00:59:00
T00000031,2024-04-10 22:15:00,2024-04-10 22:35:00,V001,2,3.03,14.79,2.50,19.58,Manhattan,Manhattan,Card,2024-04-12 18:54:00
T00000032,2024-03-25 15:33:00,2024-03-25 16:33:00,V002,1,3.74,30.94,3.05,35.41,Queens,Brooklyn,Card,2024-03-27 00:57:00
T00000033,2024-05-02 11:29:00,2024-05-02 12:12:00,V001,1,0.54,17.82,0.09,19.05,Queens,Manhattan,Cash,2024-05-04 16:57:00
T00000034,2024-03-30 23:58:00,2024-03-31 00:53:00,V001,2,0.24,21.91,3.80,26.19,Staten Island,Brooklyn,Card,2024-03-31 08:04:00
T00000035,2024-04-11 11:20:00,2024-04-11 11:55:00,V004,1,1.43,17.30,2.59,21.97,Brooklyn,Queens,Card,2024-04-14 09:10:00
T00000036,2024-03-18 16:27:00,2024-03-18 17:41:00,V002,1,7.22,41.17,1.40,43.23,Brooklyn,Queens,Cash,2024-03-20 02:01:00
T00000037,2024-02-19 11:08:00,2024-02-19 11:54:00,V001,2,1.47,21.39,2.01,24.52,Brooklyn,Brooklyn,Card,2024-02-20 16:28:00
T00000038,2024-05-31 14:57:00,2024-05-31 15:54:00,V002,3,3.77,28.55,7.88,38.73,Brooklyn,Queens,Card,2024-06-01 22:20:00
T00000039,2024-03-29 21:06:00,2024-03-29 21:38:00,V001,2,3.10,20.64,1.21,24.38,Staten Island,Brooklyn,Cash,2024-04-01 03:45:00
T00000040,2024-04-17 18:01:00,2024-04-17 18:08:00,V001,1,2.25,9.83,2.69,13.29,Staten Island,Brooklyn,Card,2024-04-18 05:38:00
T00000041,2024-03-26 14:48:00,2024-03-26 14:54:00,V003,1,0.96,5.56,0.75,8.62,Queens,Manhattan,Card,2024-03-29 07:53:00
T00000042,2024-05-01 20:54:00,2024-05-01 21:12:00,V002,1,6.26,20.91,5.11,26.33,Queens,Staten Island,Card,2024-05-02 12:17:00
T00000043,2024-04-15 08:18:00,2024-04-15 08:25:00,V004,2,4.85,14.65,2.14,18.67,Queens,Queens,Card,2024-04-15 14:21:00
T00000044,2024-03-04 04:57:00,2024-03-04 06:09:00,V002,1,4.01,35.51,0.26,38.41,Queens,Bronx,Cash,2024-03-05 03:22:00
T00000045,2024-03-20 06:40:00,2024-03-20 07:06:00,V003,5,2.31,16.29,2.86,21.16,Manhattan,Bronx,Card,2024-03-20 19:15:00
T00000046,2024-02-20 18:39:00,2024-02-20 19:40:00,V001,2,5.05,31.71,0.40,32.69,Queens,Brooklyn,Cash,2024-02-22 09:43:00
T00000047,2024-04-11 04:17:00,2024-04-11 04:22:00,V002,1,2.13,9.24,1.71,12.91,Brooklyn,Manhattan,Card,2024-04-12 20:52:00
T00000048,2024-02-10 08:10:00,2024-02-10 09:05:00,V003,1,4.73,30.63,7.48,39.02,Queens,Manhattan,Card,2024-02-11 19:44:00
